TableVersionId,ColumnName,DataType,CharacterMaxLength,DateNumPrecision,Isable,OrdinalPosition,Abbreviation
10,name,varchar,256,,YES,1,
10,superName,varchar,256,,YES,2,
10,aliases,varchar,256,,YES,3,
11,name,varchar,256,,YES,1,
11,superName,varchar,256,,YES,2,
11,authors,varchar,256,,YES,3,
12,name,varchar,256,,YES,1,
12,supername,varchar,256,,YES,2,
12,description,varchar,256,,YES,3,
12,species,nvarchar,-1,,YES,4,
12,ranking,nvarchar,-1,,YES,5,
12,aliases,nvarchar,-1,,YES,6,
12,authors,nvarchar,-1,,YES,7,
12,images,nvarchar,-1,,YES,8,
12,partners,nvarchar,-1,,YES,9,
12,powers,nvarchar,-1,,YES,10,
12,secretIdentities,nvarchar,-1,,YES,11,
12,teams,nvarchar,-1,,YES,12,
12,urls,nvarchar,-1,,YES,13,
13,name,varchar,256,,YES,1,
13,superName,varchar,256,,YES,2,
13,images,varchar,256,,YES,3,
14,name,varchar,256,,YES,1,
14,superName,varchar,256,,YES,2,
14,partners,varchar,256,,YES,3,
15,name,varchar,256,,YES,1,
15,superName,varchar,256,,YES,2,
15,powers,varchar,256,,YES,3,
16,name,varchar,256,,YES,1,
16,superName,varchar,256,,YES,2,
16,ranking,varchar,256,,YES,3,
17,name,varchar,256,,YES,1,
17,superName,varchar,256,,YES,2,
17,secretIdentities,varchar,256,,YES,3,
18,name,varchar,256,,YES,1,
18,superName,varchar,256,,YES,2,
18,species,varchar,256,,YES,3,
19,name,varchar,256,,YES,1,
19,superName,varchar,256,,YES,2,
19,teams,varchar,256,,YES,3,
20,name,varchar,256,,YES,1,
20,superName,varchar,256,,YES,2,
20,urls,varchar,256,,YES,3,
4,HUB_BEING_BKEY,varchar,4000,,NO,1,
4,URL,varchar,4000,,YES,2,
4,SOURCE_URL,varchar,4000,,YES,3,
22,SAT_BEING_KAGGLE_NLP_KEY,varchar,32,,YES,1,
22,HUB_BEING_BKEY,varchar,32,,YES,2,
22,URL,varchar,4000,,YES,3,
22,SOURCE_URL,varchar,4000,,YES,4,
22,NAME,varchar,4000,,YES,5,
22,REAL_NAME,varchar,4000,,YES,6,
22,FULL_NAME,varchar,4000,,YES,7,
22,OVERALL_SCORE,varchar,4000,,YES,8,
22,HISTORY_TEXT,varchar,4000,,YES,9,
22,POWERS_TEXT,varchar,4000,,YES,10,
22,INTELLIGENCE_SCORE,varchar,4000,,YES,11,
22,STRENGTH_SCORE,varchar,4000,,YES,12,
22,SPEED_SCORE,varchar,4000,,YES,13,
22,DURABILITY_SCORE,varchar,4000,,YES,14,
22,POWER_SCORE,varchar,4000,,YES,15,
22,COMBAT_SCORE,varchar,4000,,YES,16,
22,SUPERPOWERS,varchar,4000,,YES,17,
22,ALTER_EGOS,varchar,4000,,YES,18,
22,ALIASES,varchar,4000,,YES,19,
22,PLACE_OF_BIRTH,varchar,4000,,YES,20,
22,FIRST_APPEARANCE,varchar,4000,,YES,21,
22,CREATOR,varchar,4000,,YES,22,
22,ALIGNMENT,varchar,4000,,YES,23,
22,OCCUPATION,varchar,4000,,YES,24,
22,BASE,varchar,4000,,YES,25,
22,TEAMS,varchar,4000,,YES,26,
22,RELATIVES,varchar,4000,,YES,27,
22,GENDER,varchar,4000,,YES,28,
22,TYPE_RACE,varchar,4000,,YES,29,
22,HEIGHT,varchar,4000,,YES,30,
22,WEIGHT,varchar,4000,,YES,31,
22,EYE_COLOR,varchar,4000,,YES,32,
22,HAIR_COLOR,varchar,4000,,YES,33,
22,SKIN_COLOR,varchar,4000,,YES,34,
22,IMG,varchar,4000,,YES,35,
22,HAS_ELECTROKINESIS,varchar,4000,,YES,36,
22,HAS_ENERGY_CONSTRUCTS,varchar,4000,,YES,37,
22,HAS_MIND_CONTROL_RESISTANCE,varchar,4000,,YES,38,
22,HAS_MATTER_MANIPULATION,varchar,4000,,YES,39,
22,HAS_TELEPATHY_RESISTANCE,varchar,4000,,YES,40,
22,HAS_MIND_CONTROL,varchar,4000,,YES,41,
22,HAS_ENHANCED_HEARING,varchar,4000,,YES,42,
22,HAS_DIMENSIONAL_TRAVEL,varchar,4000,,YES,43,
22,HAS_ELEMENT_CONTROL,varchar,4000,,YES,44,
22,HAS_SIZE_CHANGING,varchar,4000,,YES,45,
22,HAS_FIRE_RESISTANCE,varchar,4000,,YES,46,
22,HAS_FIRE_CONTROL,varchar,4000,,YES,47,
22,HAS_DEXTERITY,varchar,4000,,YES,48,
22,HAS_REALITY_WARPING,varchar,4000,,YES,49,
22,HAS_ILLUSIONS,varchar,4000,,YES,50,
22,HAS_ENERGY_BEAMS,varchar,4000,,YES,51,
22,HAS_PEAK_HUMAN_CONDITION,varchar,4000,,YES,52,
22,HAS_SHAPESHIFTING,varchar,4000,,YES,53,
22,HAS_HEAT_RESISTANCE,varchar,4000,,YES,54,
22,HAS_JUMP,varchar,4000,,YES,55,
22,HAS_SELF_SUSTENANCE,varchar,4000,,YES,56,
22,HAS_ENERGY_ABSORPTION,varchar,4000,,YES,57,
22,HAS_COLD_RESISTANCE,varchar,4000,,YES,58,
22,HAS_MAGIC,varchar,4000,,YES,59,
22,HAS_TELEKINESIS,varchar,4000,,YES,60,
22,HAS_TOXIN_AND_DISEASE_RESISTANCE,varchar,4000,,YES,61,
22,HAS_TELEPATHY,varchar,4000,,YES,62,
22,HAS_REGENERATION,varchar,4000,,YES,63,
22,HAS_IMMORTALITY,varchar,4000,,YES,64,
22,HAS_TELEPORTATION,varchar,4000,,YES,65,
22,HAS_FORCE_FIELDS,varchar,4000,,YES,66,
22,HAS_ENERGY_MANIPULATION,varchar,4000,,YES,67,
22,HAS_ENDURANCE,varchar,4000,,YES,68,
22,HAS_LONGEVITY,varchar,4000,,YES,69,
22,HAS_WEAPON_BASED_POWERS,varchar,4000,,YES,70,
22,HAS_ENERGY_BLASTS,varchar,4000,,YES,71,
22,HAS_ENHANCED_SENSES,varchar,4000,,YES,72,
22,HAS_INVULNERABILITY,varchar,4000,,YES,73,
22,HAS_STEALTH,varchar,4000,,YES,74,
22,HAS_MARKSMANSHIP,varchar,4000,,YES,75,
22,HAS_FLIGHT,varchar,4000,,YES,76,
22,HAS_ACCELERATED_HEALING,varchar,4000,,YES,77,
22,HAS_WEAPONS_MASTER,varchar,4000,,YES,78,
22,HAS_INTELLIGENCE,varchar,4000,,YES,79,
22,HAS_REFLEXES,varchar,4000,,YES,80,
22,HAS_SUPER_SPEED,varchar,4000,,YES,81,
22,HAS_DURABILITY,varchar,4000,,YES,82,
22,HAS_STAMINA,varchar,4000,,YES,83,
22,HAS_AGILITY,varchar,4000,,YES,84,
22,HAS_SUPER_STRENGTH,varchar,4000,,YES,85,
23,SAT_BEING_MARVEL_SEARCH_KEY,varchar,32,,YES,1,
23,HUB_BEING_BKEY,varchar,32,,YES,2,
23,URL,varchar,4000,,YES,3,
23,SOURCE_URL,varchar,4000,,YES,4,
23,NAME,varchar,4000,,YES,5,
23,JSON_RAW,varchar,4000,,YES,6,
24,SAT_BEING_SUPERHERODB_KEY,varchar,32,,YES,1,
24,HUB_BEING_BKEY,varchar,32,,YES,2,
24,URL,varchar,4000,,YES,3,
24,SOURCE_URL,varchar,4000,,YES,4,
24,NAME,varchar,4000,,YES,5,
24,SOURCE_AS_IS_URL,varchar,4000,,YES,6,
24,INTELLIGENCE,varchar,4000,,YES,7,
24,STRENGTH,varchar,4000,,YES,8,
24,SPEED,varchar,4000,,YES,9,
24,DURABILITY,varchar,4000,,YES,10,
24,POWER,varchar,4000,,YES,11,
24,COMBAT,varchar,4000,,YES,12,
24,FULL_NAME,varchar,4000,,YES,13,
24,ALTER_EGOS,varchar,4000,,YES,14,
24,ALIASES,varchar,4000,,YES,15,
24,PLACE_OF_BIRTH,varchar,4000,,YES,16,
24,FIRST_APPEARANCE,varchar,4000,,YES,17,
24,CREATOR,varchar,4000,,YES,18,
24,ALIGNMENT,varchar,4000,,YES,19,
24,GENDER,varchar,4000,,YES,20,
24,RACE,varchar,4000,,YES,21,
24,HEIGHT,varchar,4000,,YES,22,
24,WEIGHT,varchar,4000,,YES,23,
24,EYE_COLOR,varchar,4000,,YES,24,
24,HAIR_COLOR,varchar,4000,,YES,25,
24,OCCUPATION,varchar,4000,,YES,26,
24,BASE,varchar,4000,,YES,27,
24,RELATIVES,varchar,4000,,YES,28,
24,SKIN_COLOR,varchar,4000,,YES,29,
24,TOTAL_POWER,varchar,4000,,YES,30,
25,SML_BEING_BKEY,varchar,32,,YES,1,
25,HUB_BEING_BKEY_1,varchar,32,,YES,2,
25,HUB_BEING_BKEY_2,varchar,32,,YES,3,
25,URL_1,varchar,4000,,YES,4,
25,URL_2,varchar,4000,,YES,5,
25,VALUE_1,varchar,4000,,YES,6,
25,VALUE_2,varchar,4000,,YES,7,
25,ALIASES_1,varchar,4000,,YES,8,
25,ALIASES_2,varchar,4000,,YES,9,
21,SML_BEING_BKEY,varchar,32,,YES,1,
21,HUB_BEING_BKEY_1,varchar,32,,YES,2,
21,HUB_BEING_BKEY_2,varchar,32,,YES,3,
21,URL_1,varchar,4000,,YES,4,
21,URL_2,varchar,4000,,YES,5,
